commentId,suggestionId,body,author,link,timestamp
(1,1,\r\n  I second that\r\n,RonC,http://mystarbucksidea.force.com/ideaview?id=08750000000KHUoAAO,2/26/2015 7:34 AM)
(2,1,"\r\n  Um, that will never exist.\r\n",tumblmyr,http://mystarbucksidea.force.com/ideaview?id=08750000000KHUoAAO,3/11/2015 6:17 AM)
(3,1,\r\n  I know that it has to be organic and natural so maybe offer drinks with Agave and Stevia. That way diabetics don't raise their blood sugar and its healthier!\n\r\n,Peacechild,http://mystarbucksidea.force.com/ideaview?id=08750000000KHUoAAO,3/15/2015 6:09 PM)
(4,2,\r\n  Genuine question: what's red velvet supposed to taste like? I only ever taste mild chocolate...or is the stuff i'm eating just made wrong?\r\n,janeta,http://mystarbucksidea.force.com/ideaview?id=08750000000KJocAAG,3/21/2015 6:11 PM)
(3176,2158,"\r\n  Personal Go Cups- One year later \nBaristas 1. still forget the \""personal cup discount\""\n2. Don't notice that our cups are labeled with usual drink order.\n3. Most people are still going with paper.\nWHERE IS THE ENCOURAGEMENT TO USE THE CUPS THAT YOU SELL?\r\n",sbuxanet,http://mystarbucksidea.force.com/ideaview?id=087500000004E3aAAE,3/11/2009 5:22 PM)
(3177,2159,"\r\n  Don't worry, many stores are still doing this. I live in Frederick, MD we collected nearly 2000lbs over the holiday season, and are still distributing it.(Christmas in March!) We were even recognized in the nationwide online newsletter for partners(employees). We send nearly 20 care packages a month, all containing at least 6 lbs of coffee. The troops actually LOVE getting coffee. I don't know where that \""do not send\"" message came from. Please keep up the positive support, and suggest the program in every Starbucks you walk into. We need to keep spreading the word. I promise I will do the same. Please fill out customer comment cards with this suggestion also. THANKS!!!!!!!!!!!!!! \r\n",heroes1,http://mystarbucksidea.force.com/ideaview?id=087500000004E8AAAU,3/22/2008 5:53 PM)
(3178,2159,\r\n  My store in San Diego does NOT have a bin for patrons to donate coffee for the troops for Christmas:(\nWHY NOT??\n\n\r\n,deeje,http://mystarbucksidea.force.com/ideaview?id=087500000004E8AAAU,11/30/2010 10:19 AM)
(3179,2159,"\r\n  I prefer donations of the Via instant coffee products to local fire, parameticandpolice stations (or potentially other lower-priced products as compared to entire bags of beans/grounds).Building relationships between consumer-merchant-local community services creates a truer/tangible sense of communityfor consumers and incorporates the Starbucks franchise into the actual city where it operates.\r\n",CathyPTW,http://mystarbucksidea.force.com/ideaview?id=087500000004E8AAAU,12/17/2010 12:46 PM)
(3180,2161,\r\n  You've got to be kidding? How about have allgore use his hot-air to heat up the coffee. \r\n,weewee,http://mystarbucksidea.force.com/ideaview?id=087500000004EBYAA2,3/19/2008 4:59 PM)
(3181,2161,"\r\n  I think that is an excellent idea! In fact, I was going to suggest it. You got to it before me. Oh well. I must say though that it won't be that easy for every location to be solar due to location, climate, and building style I'm sad to say. However, for the locations it could be suitable for, by all means, I think Starbucks should go for it, especially for it's west coast stores that have a big enough roof area and isn't near really tall buildings that would cast shade over the roof top. \r\n",mrfusion,http://mystarbucksidea.force.com/ideaview?id=087500000004EBYAA2,3/19/2008 11:44 PM)
