suggestionId,body,author,link,title,category,votes,timestamp
(1,Bring Sugar free Frappuccino to menu so people with Diabetes can enjoy them as well as others.\n,mani123\n,http://mystarbucksidea.force.com/ideaview?id=08750000000KHUoAAO,Sugar Free,Frappuccino+Beverages,160,2/25/2015 7:15 PM)
(2,A frappuccino with the popular taste of red velvet\n,Frapp_Fanatic\n,http://mystarbucksidea.force.com/ideaview?id=08750000000KJocAAG,A Red Velvet Frappuccino,Frappuccino+Beverages,-30,3/21/2015 5:47 PM)
(3,The Funfetti theme is trending. Starbucks should create a birthday cake frappe that they can give away for free on birthdays and sell year round. I know alot of people obsessed with the birthday cake flavored poptarts and cereals. I know they would love this drink and share it with all of their friends! \n\nThis would taste sooo yummy!\n,ashbashbean\n,http://mystarbucksidea.force.com/ideaview?id=08750000000K1nkAAC,How about a birthday cake drink?,Frappuccino+Beverages,-80,9/24/2014 12:00 AM)
(4,"Position the newspaper stand at the beginning of the line so we can buy the newspaper before we pay. What happens now with the newspaper stand positioned AFTER I have already paid is that I'll see it and want to buy a paper, but I've already paid. So I look to see how long the line is and typically it's long so I forget the newspaper, sit down, and enjoy my drink.\n",cmwkrn\n,http://mystarbucksidea.force.com/ideaview?id=08750000000HzgMAAS,Newspaper Stand Relocation,Merchandise+%26+Music,190,3/18/2012 3:23 PM)
(5,"Currently when a Misto (Starbucks for Cafe au lait, ie brewed coffee with steamed milk) is ordered, one barrista (often the cashier) draws the brewed coffee--then the cup is given to the barristas who are creating espresso/steamed drinks.  Sadly, a misto drinker has to wait and wait and wait for several more complicated espresso drinks to be made.  During rush hours, there should be a barrista dedicated to just steamed milk--who could just add the steamed milk to brewed coffee when a misto is required.\n\nSimilarly, during summer months the same goes for iced coffee.\n",clpnyc\n,http://mystarbucksidea.force.com/ideaview?id=087500000005cmHAAQ,Expedite Misto / Iced Coffee production,Coffee+%26+Espresso+Drinks,-50,11/11/2009 10:42 AM)
(6,Adding something like venmo would make the customer experience a lot easier. Parents can easily send money from their card to their kids card. Boyfriend to girlfriend. Vice versa.\n,HowlCalcifer\n,http://mystarbucksidea.force.com/ideaview?id=08750000000KIPHAA4,Adding peer-to-peer payment/lending to the app,New+Technology,-60,3/8/2015 8:57 PM)
(7,"Expand the kids' menu using current ingredients - market vanilla hot chocolate, caramel hot chocolate, double-mocha hot chocolate using syrups on top of the whipped cream -- also market milks that are the same thing except not hot -- double mocha milk, vanilla milk, caramel milk, etc. Kids will feel like they have more choices without you having to totally rearrange your ingredients. \n",JulieM\n,http://mystarbucksidea.force.com/ideaview?id=087500000004EomAAE,Kids' (Hot) Chocolates,Tea+%26+Other+Drinks,10,3/20/2008 4:21 AM)
(8,starbucks barista perfecting my favorite Starbucks beverage and then walking over to a whirlpool pedicure.  Ahh a perfect first half of my Saturday morning! \n,sasoderl\n,http://mystarbucksidea.force.com/ideaview?id=087500000004HFeAAM,ladies day,Other+Product+Ideas,-20,3/20/2008 7:00 PM)
(9,"As a former Barista, my ideas and insight into the business are tremendous.  But they all come down to one thing, 'we've' created the monsters that currently populate 'our' stores.  A 15,000 calorie (estimated liberally) Venti-Strawberries, Cream, Java Chip, Caramel and everythign else Frappuccino is not a positive offering, it's an indulgence, nor are a substantial portion of the other retail, food, and beverage offerings found at your present day local Starbucks positive.  Nor is nickel and diming customers for everything from wi-fi to drink toppings.  'We' lost the heart and soul of the business (\""Pour Your Heart In To It\"" anyone?, which I dutifully read and bought into) in ratios, seasonal themes and promotions, up-selling, inventory turns and generally taking the low road in \""value-added products and services.\""  I visit my local Starbucks now, as I am sure many do, exclusively to purchase... beans, which I also regularly buy at the grocery store so I can avoid visiting my local store.  Because at my local store, not only do I find too loud music, long lines, intattentive service, and messy bathrooms, but I find dump-truckloads of negativity and over retail-ization.  Loud, over-privledged children and their high-calorie, zero nutrition frappuccino's, self indulgent and frequently upset adults, short on caffeine, high on sugar withdrawl, all seeking an experience \""WE\"" no longer provide to them, of course 'we' still provide the 'fix.'  In short... my idea... Pour the heart back into the business, bring the 'third place' back, and then see what of the ancillary nonsense (seasonally themed stuffed animals for instance...) is worth keeping.P.S. The licensed stores, at airports and such, never had an conception of the \""heart\"" of the business to start with.  They are exemplary of everything that is wrong with current store operations.  This should be major overhaul project number 2.  At least change all over to Seattle's Best or another in house brand so the good name of Starbucks is not sullied by these establishments.P.S.S. I am now a successful entrepreneur, and I look to hire former Starbucks employees, because they truly are great, well trained, hard-working people.  It's the environment, energy and motivation (or lack thereof) that has lead to the service problems... again, it all comes back to the heart of the business. \n",FmrBrsta\n,http://mystarbucksidea.force.com/ideaview?id=087500000004Di2AAE,Hindsight as a Former Barista,Atmosphere+%26+Locations,320,3/19/2008 2:32 PM)
(10,"They only have this in Europe and I LOVE it. For those of you in the US, Pita Rustica is sandwich on Pita bread with warm chicken and the creamiest, meltiest cheese on the chicken. You can get it warm or cold. Please, please, please bring it to the USA. Thanks!\n",ThalwilGirls\n,http://mystarbucksidea.force.com/ideaview?id=08750000000HVjzAAG,Pita Rustica in USA Please!,Food,-50,6/13/2011 9:37 AM)
(11,"I know Starbucks markets differently than most companies.  Loyalty is a key to your marketing.  One way to create loyalty would be to occasionally give \""buy one get one\"" coupons.  You do coffee and brewer sales in December and March, if my memory serves me right, so why not in June and September do sleeves with buy one get one clearly marked on it.  This is a value to a customer, but would cost the company nearly nothing, since you make sleeves anyways, and the first drink would more than pay for the second drink.  These kinds of things will bring people back. \n",sgurney\n,http://mystarbucksidea.force.com/ideaview?id=087500000004ISdAAM,Marketing idea,"Ordering,+Payment+%26+Pick-Up",30,3/21/2008 11:02 AM)
(12,Please make this option available to other smart phones not just the iphone.\nPlease.\n,Alejandro1031\n,http://mystarbucksidea.force.com/ideaview?id=08750000000KJNbAAO,order and pay ahead via andriod phone app,"Ordering,+Payment+%26+Pick-Up",-30,3/19/2015 8:10 AM)
(13,I love how Involved Starbucks is with their partners with schooling and other opportunities of growth. I think it'd be wonderful if they set up something for them involving coffee gear? \nWearing a black or white polo is nice and all but it's even better to have one with the company's logo or name on it. Or a cool looking jacket.  I feel like their should be some system to work with partners. \n,jaygeek\n,http://mystarbucksidea.force.com/ideaview?id=08750000000K2YRAA0,Barista Wear,Other+Involvement+Ideas,-40,10/1/2014 11:58 AM)
(14,"The original attraction to having a registered card was the free syrups. Not wanting the calories, I am happy with a half of a pump but I don't want to pay $.50 for it.\n",CoffeeQ\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IM8DAAW,single pump or less of syrup free,Starbucks+Card,50,9/19/2012 10:55 AM)
(15,"Snooty, pricey, full of attitude!Long wait, customers with a false senseof entitlement and prices, way over the top. \n",Kototi\n,http://mystarbucksidea.force.com/ideaview?id=087500000004EmDAAU,Why I do not go to Starbucks,Other+Experience+Ideas,20,3/20/2008 4:13 AM)
(1647,"Dear Sir/Madam,                Warm Greetings. I am a real fan of STARBUCKS Coffee. I am very much delighted to see the news that Starbucks is introduced to India in collaboration with TATA.               \nI am kindly requesting you to open out lets at Thiruvananthapuram (Trivandrum),Capital of Kerala along with your other ventures. I can suggest you the places with goodbusinesswill be TECHNO PARK or upcoming TECHNO CITY at Thiruvananthapuram. Please consider the request of a Starbucks fan.Thanking YouRegardsDr. Nasim V.S.\nAssistant Professor inPediatric Dentistry,College of Dentistry,P.O. Box 3263,King Khalid University,Abha,  61471.Kingdom of Saudi Arabia.Tel:00966-552620649\n",Nasim\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IXN4AAO,"Opening a STARBUCKS at Thiruvananthapuram, Capital of Kerala - Gods Own Country",Outside+USA,-80,12/9/2012 1:10 PM)
(1648,"Hi,\nWith the amount of traffic coming in and out of the city, there isnt enough coffee locations along the QEW going eastbound into Toronto.\nThe amount of traffic that get off and on at ParkLawn in rush hours in morning and night are extremely high.\nSimilar to your Port Union location at Port Union/Kingston Road where you put a DriveThru, this Queensway and ParkLawn location would be a similar situation. People can easily get off and back on the highway, or do side routes into the City.\n",StrbckIdea\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IXo0AAG,Park Lawn and Queensway Location needed,Outside+USA,-20,12/12/2012 6:33 AM)
(1649,"Why not have Starbuck's T-shirts to sell in selected Canadian stores? Not only is it a great way to advertise the product, but it can be a great wayfor coffee lovers to express their favorite brew,bean and brand...or for others to use as a souvenir. I wore my Starbuck's Hawaii tshirt for years and people always commented upon it.\n",sewergurl\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IXw9AAG,T-Shirts,Outside+USA,-40,12/12/2012 5:10 PM)
(1650,I was recently in China and was not able to use my app to pay for coffee in Yuan. Sure would have been convenient.\n,Willards69\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IY8FAAW,I have the Starbuck app to pay for my coffee,Outside+USA,0,12/14/2012 6:44 AM)
(1651,"I had earlier sent in a request asking you to come to Nigeria, and I am presently thinking of establishing a coffee house in Ikoyi,Lagos and to brew Starbucks Coffee.\nI will like to know the prices for your standard equipments, and materials to do this and please sent me a quote for this, bearing in mind that I will be buying in bulk.\nI intend to have a similar environment as most of your coffe houses in the UK in Nigeria.\nThank you.\nArchitect Tao Alamutu\n\n",Alamutu\n,http://mystarbucksidea.force.com/ideaview?id=08750000000IYJIAA4,Starbucks in Nigeria,Outside+USA,-80,12/17/2012 3:34 AM)
