author,total_votes
starbaby\n,17400
briand92\n,5920
Flygjava\n,4300
VAMPESS7\n,3000
holmesr1\n,2770
fpalmer321\n,2690
ericj610\n,2110
flutterbyy\n,1910
themebiz\n,1880
dlang\n,1570
teodor2rempel\n,1180
BTR\n,880
sullygirl\n,750
mt26\n,640
RVance\n,620
KarineRivet\n,500
sdpetrarca\n,450
helix\n,410
DecafDiva0702\n,390
starmyoren\n,360
chinxiaoluke\n,330
JulesCoffee\n,320
FmrBrsta\n,320
SusieBrown\n,310
nodrive\n,300
Ruthy\n,300
Janice1951\n,290
Sneffi\n,250
micromac\n,250
CharliesGG\n,240
ColoradoJohn\n,240
cmlstudio\n,230
CoffeePerk\n,230
jseek21\n,220
happylady\n,220
krazy4starbks\n,220
CatalinaM\n,210
CustIdea0001\n,210
katko\n,200
Target362\n,200
pakowki\n,200
FoodieP\n,190
hollister503\n,190
cmwkrn\n,190
Katiekat\n,180
ashleyaf\n,180
TonyOne\n,170
wakkopoe\n,170
evolution\n,170
CoffeeQwn\n,170
beanista\n,170
jefry\n,170
kc1472\n,160
annemccabe\n,160
mani123\n,160
ltaylor1\n,160
CPUwhiz\n,150
Superchick21\n,150
carameljava\n,140
anjojajo99\n,140
KrystaandIan\n,140
dizzygirl\n,140
kathybme\n,130
imajen11\n,130
caprafan\n,130
valetmom\n,130
MerciJim\n,130
elstella\n,120
Mojoatl\n,120
LisetteWannem\n,120
dchu220\n,120
icedventima\n,110
cater\n,110
ddwife\n,110
KramStarbucks\n,110
pdxstacey\n,110
pumpkinlover97\n,110
jacobsmom\n,110
Serhattas\n,110
ranesbitt14\n,110
bigtrouble1\n,100
coffeetweaker\n,100
me32\n,100
acecowboy\n,100
TheBon\n,100
raeolite\n,100
grotepimmel\n,90
lsophia\n,90
wyfantnt\n,90
tealemonade\n,90
Lisergishnu\n,90
Sherbert\n,80
tahiti\n,80
mcgutierrez01\n,80
MsmileyD\n,80
rmhl\n,80
calcal89\n,80
Dr_Mupapa\n,80
elgundaker\n,80
CoffeeMugged\n,80
VentWhiteMocha\n,80
juthu\n,80
marbux\n,70
mistyacr\n,70
tk7997\n,70
Richar62\n,70
nedrey\n,70
polira\n,70
rayandsay\n,70
Janay\n,70
KelliJ\n,70
margopol\n,70
PavelL\n,70
M123456U\n,70
CharlesDollars\n,70
davidrdriscoll\n,70
BruinJef\n,70
stephs2\n,70
jeniel\n,60
organia\n,60
luvestima\n,60
trkraha\n,60
taishabka\n,60
eabjork\n,60
plztrustme\n,60
cerksees\n,50
Crzymn711\n,50
Duukes\n,50
CoffeeQ\n,50
drgreenis\n,50
pikachiu132\n,50
JasonB\n,50
croszell\n,50
SD128\n,50
tinahrfi\n,50
zizzle\n,40
AndyinPgh\n,40
klebsack\n,40
grandeskimcap\n,40
Ungreen\n,40
Cruzle\n,40
sdflyer\n,40
fayannre\n,40
seallid\n,40
sbxdadx3\n,40
DBoggs\n,40
CaptainChris\n,40
BonMik\n,40
another8a\n,40
Pam\n,40
OurMTDN\n,40
tictoc\n,40
Pablo\n,40
ThomasA\n,40
Terra75\n,40
Taco\n,40
holliday\n,40
forgottenhome\n,40
msteiniger\n,40
cecyhendersman\n,30
christam\n,30
cafebeagle\n,30
and_more\n,30
Ellsswhere\n,30
adw3566\n,30
emariceg\n,30
sgurney\n,30
chads\n,30
cindabeckm\n,30
necprc\n,30
JAMF\n,30
followon\n,30
forreal\n,30
frankie1\n,30
KBC1969\n,30
JoeH\n,30
Jllman\n,30
proudwifeada\n,30
Jitendra\n,30
izzy2000\n,30
TonyML\n,30
Magpie54\n,30
L2W\n,30
RevJohn\n,30
Sarahski\n,30
Sean28\n,30
judyvermont\n,30
luke\n,30
keokab\n,30
kianster\n,30
Raven40\n,30
NEGal\n,30
cookieknits\n,30
Annyong\n,30
xpressoh\n,20
Beanz04\n,20
crescendoll\n,20
violino1\n,20
markja\n,20
markds\n,20
PamCan\n,20
maxwell9\n,20
krisi53\n,20
PeaceLuvCoffee\n,20
philc77\n,20
roxy23_66\n,20
Tripp\n,20
John_Smilez\n,20
peterpulmonary\n,20
heyangelo\n,20
JCD\n,20
Kototi\n,20
KingTim\n,20
msherry1000\n,20
